DOI,Metadata,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/SS/MOQSCE,"Music and Poetry from the Pamir Mountains 1992 This collection was recorded during fieldwork into the sung poetry of Tajik Badakhshan, also known as the Autonomous Region of Gorno-Badakhshan or simply Pamir (The Pamirs), in the South East of the Central Asian republic of Tajikistan. A number of regions within Tajik Badakhshan were visited in 1992 and 1993 (and in later years) in order to record music and poetry. These regions are Shughnan, Rushan including the Bartang valley up to the village of Roshorw, and Wakhan.",fieldwork,fieldwork (research),http://vocab.getty.edu/aat/300077463,0.9575231282440002
doi:10.17026/SS/MOQSCE,"Music and Poetry from the Pamir Mountains 1992 This collection was recorded during fieldwork into the sung poetry of Tajik Badakhshan, also known as the Autonomous Region of Gorno-Badakhshan or simply Pamir (The Pamirs), in the South East of the Central Asian republic of Tajikistan. A number of regions within Tajik Badakhshan were visited in 1992 and 1993 (and in later years) in order to record music and poetry. These regions are Shughnan, Rushan including the Bartang valley up to the village of Roshorw, and Wakhan.",recordings (sounds),sound recordings,http://vocab.getty.edu/aat/300028633,0.9226654747883349
doi:10.17026/SS/MOQSCE,"Music and Poetry from the Pamir Mountains 1992 This collection was recorded during fieldwork into the sung poetry of Tajik Badakhshan, also known as the Autonomous Region of Gorno-Badakhshan or simply Pamir (The Pamirs), in the South East of the Central Asian republic of Tajikistan. A number of regions within Tajik Badakhshan were visited in 1992 and 1993 (and in later years) in order to record music and poetry. These regions are Shughnan, Rushan including the Bartang valley up to the village of Roshorw, and Wakhan.",folktales,folk tales,http://vocab.getty.edu/aat/300055922,0.9852975111111665
doi:10.17026/SS/MOQSCE,"Music and Poetry from the Pamir Mountains 1992 This collection was recorded during fieldwork into the sung poetry of Tajik Badakhshan, also known as the Autonomous Region of Gorno-Badakhshan or simply Pamir (The Pamirs), in the South East of the Central Asian republic of Tajikistan. A number of regions within Tajik Badakhshan were visited in 1992 and 1993 (and in later years) in order to record music and poetry. These regions are Shughnan, Rushan including the Bartang valley up to the village of Roshorw, and Wakhan.",tajiks,Tajik (language),http://vocab.getty.edu/aat/300389350,0.904039970779061
doi:10.17026/SS/MOQSCE,"Music and Poetry from the Pamir Mountains 1992 This collection was recorded during fieldwork into the sung poetry of Tajik Badakhshan, also known as the Autonomous Region of Gorno-Badakhshan or simply Pamir (The Pamirs), in the South East of the Central Asian republic of Tajikistan. A number of regions within Tajik Badakhshan were visited in 1992 and 1993 (and in later years) in order to record music and poetry. These regions are Shughnan, Rushan including the Bartang valley up to the village of Roshorw, and Wakhan.",central asia,Central Asian,http://vocab.getty.edu/aat/300018281,0.9133978968085814
doi:10.17026/SS/MOQSCE,"Music and Poetry from the Pamir Mountains 1992 This collection was recorded during fieldwork into the sung poetry of Tajik Badakhshan, also known as the Autonomous Region of Gorno-Badakhshan or simply Pamir (The Pamirs), in the South East of the Central Asian republic of Tajikistan. A number of regions within Tajik Badakhshan were visited in 1992 and 1993 (and in later years) in order to record music and poetry. These regions are Shughnan, Rushan including the Bartang valley up to the village of Roshorw, and Wakhan.",poetry,poetry,http://vocab.getty.edu/aat/300055931,1.0000000000000002
doi:10.17026/SS/MOQSCE,"Music and Poetry from the Pamir Mountains 1992 This collection was recorded during fieldwork into the sung poetry of Tajik Badakhshan, also known as the Autonomous Region of Gorno-Badakhshan or simply Pamir (The Pamirs), in the South East of the Central Asian republic of Tajikistan. A number of regions within Tajik Badakhshan were visited in 1992 and 1993 (and in later years) in order to record music and poetry. These regions are Shughnan, Rushan including the Bartang valley up to the village of Roshorw, and Wakhan.",music,music (discipline),http://vocab.getty.edu/aat/300417584,0.8715484294675988
doi:10.17026/dans-xfp-njp9,"Liedbundel: De Amsterdamsze Gaare-Keuken (1796) De Amsterdamsze Gaare-Keuken, Met den Blyhertigen Op-Disser. Voorzien met de nieuwste en aangenaamste Liederen, zoo Herders als Minnaars Gezangen. Te Amsteldam, By S. en W. Koene, Boekdrukkers, Boek- en Papierverkoopers, op de Linde-Gragt, 1796.",song collections,songbooks,http://vocab.getty.edu/aat/300026432,0.8344682546846285
doi:10.17026/dans-xfp-njp9,"Liedbundel: De Amsterdamsze Gaare-Keuken (1796) De Amsterdamsze Gaare-Keuken, Met den Blyhertigen Op-Disser. Voorzien met de nieuwste en aangenaamste Liederen, zoo Herders als Minnaars Gezangen. Te Amsteldam, By S. en W. Koene, Boekdrukkers, Boek- en Papierverkoopers, op de Linde-Gragt, 1796.",cookbooks,cookbooks,http://vocab.getty.edu/aat/300026109,1.0
doi:10.17026/dans-xfp-njp9,"Liedbundel: De Amsterdamsze Gaare-Keuken (1796) De Amsterdamsze Gaare-Keuken, Met den Blyhertigen Op-Disser. Voorzien met de nieuwste en aangenaamste Liederen, zoo Herders als Minnaars Gezangen. Te Amsteldam, By S. en W. Koene, Boekdrukkers, Boek- en Papierverkoopers, op de Linde-Gragt, 1796.",titles,caption titles,http://vocab.getty.edu/aat/300252610,0.9145067712717279
